Subject,Course Code,Course Title,Description,Prerequisites,Offered,Keywords
GEN,G145,Introduction to GEN Applications,This course covers introduction to gen applications with emphasis on practical and theoretical aspects.,G136 - Principles of GEN Systems,"Spring, Fall","GEN, Introduction, to, GEN, Applications, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: G136 - Principles of GEN Systems"
GEN,G154,Introduction to GEN Systems,This course covers introduction to gen systems with emphasis on practical and theoretical aspects.,G145 - Introduction to GEN Applications,"Summer, Fall, Spring","GEN, Introduction, to, GEN, Systems, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: G145 - Introduction to GEN Applications"
GEN,G163,Introduction to GEN Applications,This course covers introduction to gen applications with emphasis on practical and theoretical aspects.,G154 - Introduction to GEN Systems,Spring,"GEN, Introduction, to, GEN, Applications, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: G154 - Introduction to GEN Systems"
Geography,G100,Introduction to Geography Theory,This course covers introduction to geography theory with emphasis on practical and theoretical aspects.,None,"Summer, Spring","Geography, Introduction, to, Geography, Theory, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: None"
Geography,G109,Principles of Geography Theory,This course covers principles of geography theory with emphasis on practical and theoretical aspects.,G100 - Introduction to Geography Theory,"Fall, Summer","Geography, Principles, of, Geography, Theory, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: G100 - Introduction to Geography Theory"
Geography,G118,Fundamentals of Geography Development,This course covers fundamentals of geography development with emphasis on practical and theoretical aspects.,G109 - Principles of Geography Theory,"Summer, Fall, Spring","Geography, Fundamentals, of, Geography, Development, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: G109 - Principles of Geography Theory"
Geography,G127,Introduction to Geography Analysis,This course covers introduction to geography analysis with emphasis on practical and theoretical aspects.,G118 - Fundamentals of Geography Development,"Fall, Summer","Geography, Introduction, to, Geography, Analysis, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: G118 - Fundamentals of Geography Development"
Geography,G136,Fundamentals of Geography Theory,This course covers fundamentals of geography theory with emphasis on practical and theoretical aspects.,G127 - Introduction to Geography Analysis,"Summer, Spring, Fall","Geography, Fundamentals, of, Geography, Theory, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: G127 - Introduction to Geography Analysis"
Geography,G145,Fundamentals of Geography Applications,This course covers fundamentals of geography applications with emphasis on practical and theoretical aspects.,G136 - Fundamentals of Geography Theory,"Fall, Summer, Spring","Geography, Fundamentals, of, Geography, Applications, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: G136 - Fundamentals of Geography Theory"
Geography,G154,Introduction to Geography Design,This course covers introduction to geography design with emphasis on practical and theoretical aspects.,G145 - Fundamentals of Geography Applications,"Spring, Summer","Geography, Introduction, to, Geography, Design, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: G145 - Fundamentals of Geography Applications"
Geography,G163,Principles of Geography Applications,This course covers principles of geography applications with emphasis on practical and theoretical aspects.,G154 - Introduction to Geography Design,"Spring, Fall, Summer","Geography, Principles, of, Geography, Applications, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: G154 - Introduction to Geography Design"
Geography,G172,Fundamentals of Geography Management,This course covers fundamentals of geography management with emphasis on practical and theoretical aspects.,G163 - Principles of Geography Applications,Summer,"Geography, Fundamentals, of, Geography, Management, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: G163 - Principles of Geography Applications"
Geography,G181,Principles of Geography Analysis,This course covers principles of geography analysis with emphasis on practical and theoretical aspects.,G172 - Fundamentals of Geography Management,"Spring, Summer, Fall","Geography, Principles, of, Geography, Analysis, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: G172 - Fundamentals of Geography Management"
Graduate Studies,GS100,Fundamentals of Graduate Studies Development,This course covers fundamentals of graduate studies development with emphasis on practical and theoretical aspects.,None,"Spring, Summer","Graduate Studies, Fundamentals, of, Graduate, Studies, Development, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: None"
Graduate Studies,GS109,Introduction to Graduate Studies Management,This course covers introduction to graduate studies management with emphasis on practical and theoretical aspects.,GS100 - Fundamentals of Graduate Studies Development,"Spring, Fall, Summer","Graduate Studies, Introduction, to, Graduate, Studies, Management, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: GS100 - Fundamentals of Graduate Studies Development"
Graduate Studies,GS118,Fundamentals of Graduate Studies Development,This course covers fundamentals of graduate studies development with emphasis on practical and theoretical aspects.,GS109 - Introduction to Graduate Studies Management,"Fall, Spring, Summer","Graduate Studies, Fundamentals, of, Graduate, Studies, Development, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: GS109 - Introduction to Graduate Studies Management"
Graduate Studies,GS127,Principles of Graduate Studies Design,This course covers principles of graduate studies design with emphasis on practical and theoretical aspects.,GS118 - Fundamentals of Graduate Studies Development,"Fall, Summer","Graduate Studies, Principles, of, Graduate, Studies, Design, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: GS118 - Fundamentals of Graduate Studies Development"
Graduate Studies,GS136,Fundamentals of Graduate Studies Applications,This course covers fundamentals of graduate studies applications with emphasis on practical and theoretical aspects.,GS127 - Principles of Graduate Studies Design,Fall,"Graduate Studies, Fundamentals, of, Graduate, Studies, Applications, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: GS127 - Principles of Graduate Studies Design"
Graduate Studies,GS145,Principles of Graduate Studies Analysis,This course covers principles of graduate studies analysis with emphasis on practical and theoretical aspects.,GS136 - Fundamentals of Graduate Studies Applications,"Spring, Fall","Graduate Studies, Principles, of, Graduate, Studies, Analysis, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: GS136 - Fundamentals of Graduate Studies Applications"
Graduate Studies,GS154,Principles of Graduate Studies Systems,This course covers principles of graduate studies systems with emphasis on practical and theoretical aspects.,GS145 - Principles of Graduate Studies Analysis,Fall,"Graduate Studies, Principles, of, Graduate, Studies, Systems, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: GS145 - Principles of Graduate Studies Analysis"
Graduate Studies,GS163,Introduction to Graduate Studies Analysis,This course covers introduction to graduate studies analysis with emphasis on practical and theoretical aspects.,GS154 - Principles of Graduate Studies Systems,"Fall, Summer, Spring","Graduate Studies, Introduction, to, Graduate, Studies, Analysis, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: GS154 - Principles of Graduate Studies Systems"
Graduate Studies,GS172,Fundamentals of Graduate Studies Analysis,This course covers fundamentals of graduate studies analysis with emphasis on practical and theoretical aspects.,GS163 - Introduction to Graduate Studies Analysis,"Summer, Spring","Graduate Studies, Fundamentals, of, Graduate, Studies, Analysis, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: GS163 - Introduction to Graduate Studies Analysis"
Graduate Studies,GS181,Introduction to Graduate Studies Applications,This course covers introduction to graduate studies applications with emphasis on practical and theoretical aspects.,GS172 - Fundamentals of Graduate Studies Analysis,"Spring, Fall","Graduate Studies, Introduction, to, Graduate, Studies, Applications, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: GS172 - Fundamentals of Graduate Studies Analysis"
Health Education,HE100,Introduction to Health Education Theory,This course covers introduction to health education theory with emphasis on practical and theoretical aspects.,None,"Fall, Spring, Summer","Health Education, Introduction, to, Health, Education, Theory, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: None"
Health Education,HE109,Fundamentals of Health Education Theory,This course covers fundamentals of health education theory with emphasis on practical and theoretical aspects.,HE100 - Introduction to Health Education Theory,"Fall, Summer, Spring","Health Education, Fundamentals, of, Health, Education, Theory, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: HE100 - Introduction to Health Education Theory"
Health Education,HE118,Introduction to Health Education Management,This course covers introduction to health education management with emphasis on practical and theoretical aspects.,HE109 - Fundamentals of Health Education Theory,Fall,"Health Education, Introduction, to, Health, Education, Management, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: HE109 - Fundamentals of Health Education Theory"
Health Education,HE127,Fundamentals of Health Education Development,This course covers fundamentals of health education development with emphasis on practical and theoretical aspects.,HE118 - Introduction to Health Education Management,"Summer, Fall","Health Education, Fundamentals, of, Health, Education, Development, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: HE118 - Introduction to Health Education Management"
Health Education,HE136,Principles of Health Education Design,This course covers principles of health education design with emphasis on practical and theoretical aspects.,HE127 - Fundamentals of Health Education Development,Fall,"Health Education, Principles, of, Health, Education, Design, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: HE127 - Fundamentals of Health Education Development"
Health Education,HE145,Introduction to Health Education Management,This course covers introduction to health education management with emphasis on practical and theoretical aspects.,HE136 - Principles of Health Education Design,"Fall, Spring","Health Education, Introduction, to, Health, Education, Management, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: HE136 - Principles of Health Education Design"
Health Education,HE154,Principles of Health Education Systems,This course covers principles of health education systems with emphasis on practical and theoretical aspects.,HE145 - Introduction to Health Education Management,"Spring, Summer","Health Education, Principles, of, Health, Education, Systems, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: HE145 - Introduction to Health Education Management"
Health Education,HE163,Introduction to Health Education Management,This course covers introduction to health education management with emphasis on practical and theoretical aspects.,HE154 - Principles of Health Education Systems,"Spring, Summer, Fall","Health Education, Introduction, to, Health, Education, Management, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: HE154 - Principles of Health Education Systems"
Health Education,HE172,Fundamentals of Health Education Management,This course covers fundamentals of health education management with emphasis on practical and theoretical aspects.,HE163 - Introduction to Health Education Management,Spring,"Health Education, Fundamentals, of, Health, Education, Management, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: HE163 - Introduction to Health Education Management"
Health Physical Education,HPE100,Fundamentals of Health Physical Education Design,This course covers fundamentals of health physical education design with emphasis on practical and theoretical aspects.,None,"Fall, Summer","Health Physical Education, Fundamentals, of, Health, Physical, Education, Design, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: None"
Health Physical Education,HPE109,Fundamentals of Health Physical Education Analysis,This course covers fundamentals of health physical education analysis with emphasis on practical and theoretical aspects.,HPE100 - Fundamentals of Health Physical Education Design,"Spring, Summer","Health Physical Education, Fundamentals, of, Health, Physical, Education, Analysis, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: HPE100 - Fundamentals of Health Physical Education Design"
Health Physical Education,HPE118,Introduction to Health Physical Education Applications,This course covers introduction to health physical education applications with emphasis on practical and theoretical aspects.,HPE109 - Fundamentals of Health Physical Education Analysis,"Spring, Summer","Health Physical Education, Introduction, to, Health, Physical, Education, Applications, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: HPE109 - Fundamentals of Health Physical Education Analysis"
Health Physical Education,HPE127,Introduction to Health Physical Education Analysis,This course covers introduction to health physical education analysis with emphasis on practical and theoretical aspects.,HPE118 - Introduction to Health Physical Education Applications,Fall,"Health Physical Education, Introduction, to, Health, Physical, Education, Analysis, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: HPE118 - Introduction to Health Physical Education Applications"
Health Physical Education,HPE136,Fundamentals of Health Physical Education Systems,This course covers fundamentals of health physical education systems with emphasis on practical and theoretical aspects.,HPE127 - Introduction to Health Physical Education Analysis,"Fall, Spring, Summer","Health Physical Education, Fundamentals, of, Health, Physical, Education, Systems, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: HPE127 - Introduction to Health Physical Education Analysis"
Health Physical Education,HPE145,Principles of Health Physical Education Management,This course covers principles of health physical education management with emphasis on practical and theoretical aspects.,HPE136 - Fundamentals of Health Physical Education Systems,Spring,"Health Physical Education, Principles, of, Health, Physical, Education, Management, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: HPE136 - Fundamentals of Health Physical Education Systems"
Health Physical Education,HPE154,Introduction to Health Physical Education Applications,This course covers introduction to health physical education applications with emphasis on practical and theoretical aspects.,HPE145 - Principles of Health Physical Education Management,Fall,"Health Physical Education, Introduction, to, Health, Physical, Education, Applications, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: HPE145 - Principles of Health Physical Education Management"
Health Physical Education,HPE163,Fundamentals of Health Physical Education Management,This course covers fundamentals of health physical education management with emphasis on practical and theoretical aspects.,HPE154 - Introduction to Health Physical Education Applications,"Summer, Spring","Health Physical Education, Fundamentals, of, Health, Physical, Education, Management, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: HPE154 - Introduction to Health Physical Education Applications"
History,H100,Fundamentals of History Management,This course covers fundamentals of history management with emphasis on practical and theoretical aspects.,None,"Fall, Summer","History, Fundamentals, of, History, Management, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: None"
History,H109,Introduction to History Design,This course covers introduction to history design with emphasis on practical and theoretical aspects.,H100 - Fundamentals of History Management,"Summer, Spring","History, Introduction, to, History, Design, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: H100 - Fundamentals of History Management"
History,H118,Introduction to History Systems,This course covers introduction to history systems with emphasis on practical and theoretical aspects.,H109 - Introduction to History Design,"Fall, Spring","History, Introduction, to, History, Systems, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: H109 - Introduction to History Design"
History,H127,Principles of History Analysis,This course covers principles of history analysis with emphasis on practical and theoretical aspects.,H118 - Introduction to History Systems,"Fall, Summer","History, Principles, of, History, Analysis, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: H118 - Introduction to History Systems"
History,H136,Introduction to History Management,This course covers introduction to history management with emphasis on practical and theoretical aspects.,H127 - Principles of History Analysis,"Summer, Fall","History, Introduction, to, History, Management, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: H127 - Principles of History Analysis"
History,H145,Principles of History Applications,This course covers principles of history applications with emphasis on practical and theoretical aspects.,H136 - Introduction to History Management,Summer,"History, Principles, of, History, Applications, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: H136 - Introduction to History Management"
History,H154,Fundamentals of History Management,This course covers fundamentals of history management with emphasis on practical and theoretical aspects.,H145 - Principles of History Applications,"Spring, Summer, Fall","History, Fundamentals, of, History, Management, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: H145 - Principles of History Applications"
History,H163,Principles of History Analysis,This course covers principles of history analysis with emphasis on practical and theoretical aspects.,H154 - Fundamentals of History Management,"Summer, Spring","History, Principles, of, History, Analysis, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: H154 - Fundamentals of History Management"
History,H172,Introduction to History Practice,This course covers introduction to history practice with emphasis on practical and theoretical aspects.,H163 - Principles of History Analysis,Fall,"History, Introduction, to, History, Practice, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: H163 - Principles of History Analysis"
History,H181,Introduction to History Applications,This course covers introduction to history applications with emphasis on practical and theoretical aspects.,H172 - Introduction to History Practice,Spring,"History, Introduction, to, History, Applications, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: H172 - Introduction to History Practice"
History,H190,Fundamentals of History Design,This course covers fundamentals of history design with emphasis on practical and theoretical aspects.,H181 - Introduction to History Applications,Summer,"History, Fundamentals, of, History, Design, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: H181 - Introduction to History Applications"
History,H199,Principles of History Development,This course covers principles of history development with emphasis on practical and theoretical aspects.,H190 - Fundamentals of History Design,Spring,"History, Principles, of, History, Development, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: H190 - Fundamentals of History Design"
Human Dev and Family Studies,HDAFS100,Introduction to Human Dev and Family Studies Applications,This course covers introduction to human dev and family studies applications with emphasis on practical and theoretical aspects.,None,"Fall, Summer","Human Dev and Family Studies, Introduction, to, Human, Dev, and, Family, Studies, Applications, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: None"
Human Dev and Family Studies,HDAFS109,Introduction to Human Dev and Family Studies Theory,This course covers introduction to human dev and family studies theory with emphasis on practical and theoretical aspects.,HDAFS100 - Introduction to Human Dev and Family Studies Applications,Summer,"Human Dev and Family Studies, Introduction, to, Human, Dev, and, Family, Studies, Theory, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: HDAFS100 - Introduction to Human Dev and Family Studies Applications"
Human Dev and Family Studies,HDAFS118,Fundamentals of Human Dev and Family Studies Development,This course covers fundamentals of human dev and family studies development with emphasis on practical and theoretical aspects.,HDAFS109 - Introduction to Human Dev and Family Studies Theory,"Fall, Spring, Summer","Human Dev and Family Studies, Fundamentals, of, Human, Dev, and, Family, Studies, Development, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: HDAFS109 - Introduction to Human Dev and Family Studies Theory"
Human Dev and Family Studies,HDAFS127,Introduction to Human Dev and Family Studies Applications,This course covers introduction to human dev and family studies applications with emphasis on practical and theoretical aspects.,HDAFS118 - Fundamentals of Human Dev and Family Studies Development,"Fall, Spring, Summer","Human Dev and Family Studies, Introduction, to, Human, Dev, and, Family, Studies, Applications, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: HDAFS118 - Fundamentals of Human Dev and Family Studies Development"
Human Dev and Family Studies,HDAFS136,Fundamentals of Human Dev and Family Studies Practice,This course covers fundamentals of human dev and family studies practice with emphasis on practical and theoretical aspects.,HDAFS127 - Introduction to Human Dev and Family Studies Applications,Summer,"Human Dev and Family Studies, Fundamentals, of, Human, Dev, and, Family, Studies, Practice, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: HDAFS127 - Introduction to Human Dev and Family Studies Applications"
Human Dev and Family Studies,HDAFS145,Introduction to Human Dev and Family Studies Development,This course covers introduction to human dev and family studies development with emphasis on practical and theoretical aspects.,HDAFS136 - Fundamentals of Human Dev and Family Studies Practice,"Fall, Spring, Summer","Human Dev and Family Studies, Introduction, to, Human, Dev, and, Family, Studies, Development, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: HDAFS136 - Fundamentals of Human Dev and Family Studies Practice"
Human Dev and Family Studies,HDAFS154,Principles of Human Dev and Family Studies Practice,This course covers principles of human dev and family studies practice with emphasis on practical and theoretical aspects.,HDAFS145 - Introduction to Human Dev and Family Studies Development,"Summer, Spring","Human Dev and Family Studies, Principles, of, Human, Dev, and, Family, Studies, Practice, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: HDAFS145 - Introduction to Human Dev and Family Studies Development"
Human Dev and Family Studies,HDAFS163,Introduction to Human Dev and Family Studies Analysis,This course covers introduction to human dev and family studies analysis with emphasis on practical and theoretical aspects.,HDAFS154 - Principles of Human Dev and Family Studies Practice,Fall,"Human Dev and Family Studies, Introduction, to, Human, Dev, and, Family, Studies, Analysis, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: HDAFS154 - Principles of Human Dev and Family Studies Practice"
Human Dev and Family Studies,HDAFS172,Introduction to Human Dev and Family Studies Design,This course covers introduction to human dev and family studies design with emphasis on practical and theoretical aspects.,HDAFS163 - Introduction to Human Dev and Family Studies Analysis,Summer,"Human Dev and Family Studies, Introduction, to, Human, Dev, and, Family, Studies, Design, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: HDAFS163 - Introduction to Human Dev and Family Studies Analysis"
Human Dev and Family Studies,HDAFS181,Principles of Human Dev and Family Studies Theory,This course covers principles of human dev and family studies theory with emphasis on practical and theoretical aspects.,HDAFS172 - Introduction to Human Dev and Family Studies Design,Spring,"Human Dev and Family Studies, Principles, of, Human, Dev, and, Family, Studies, Theory, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: HDAFS172 - Introduction to Human Dev and Family Studies Design"
Human Dev and Family Studies,HDAFS190,Principles of Human Dev and Family Studies Management,This course covers principles of human dev and family studies management with emphasis on practical and theoretical aspects.,HDAFS181 - Principles of Human Dev and Family Studies Theory,Spring,"Human Dev and Family Studies, Principles, of, Human, Dev, and, Family, Studies, Management, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: HDAFS181 - Principles of Human Dev and Family Studies Theory"
Human Dev and Family Studies,HDAFS199,Principles of Human Dev and Family Studies Applications,This course covers principles of human dev and family studies applications with emphasis on practical and theoretical aspects.,HDAFS190 - Principles of Human Dev and Family Studies Management,"Spring, Fall","Human Dev and Family Studies, Principles, of, Human, Dev, and, Family, Studies, Applications, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: HDAFS190 - Principles of Human Dev and Family Studies Management"
Liberal Studies,LS100,Principles of Liberal Studies Systems,This course covers principles of liberal studies systems with emphasis on practical and theoretical aspects.,None,"Spring, Summer, Fall","Liberal Studies, Principles, of, Liberal, Studies, Systems, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: None"
Liberal Studies,LS109,Fundamentals of Liberal Studies Systems,This course covers fundamentals of liberal studies systems with emphasis on practical and theoretical aspects.,LS100 - Principles of Liberal Studies Systems,"Fall, Summer","Liberal Studies, Fundamentals, of, Liberal, Studies, Systems, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: LS100 - Principles of Liberal Studies Systems"
Liberal Studies,LS118,Introduction to Liberal Studies Applications,This course covers introduction to liberal studies applications with emphasis on practical and theoretical aspects.,LS109 - Fundamentals of Liberal Studies Systems,"Spring, Summer, Fall","Liberal Studies, Introduction, to, Liberal, Studies, Applications, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: LS109 - Fundamentals of Liberal Studies Systems"
Liberal Studies,LS127,Fundamentals of Liberal Studies Design,This course covers fundamentals of liberal studies design with emphasis on practical and theoretical aspects.,LS118 - Introduction to Liberal Studies Applications,Summer,"Liberal Studies, Fundamentals, of, Liberal, Studies, Design, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: LS118 - Introduction to Liberal Studies Applications"
Liberal Studies,LS136,Introduction to Liberal Studies Development,This course covers introduction to liberal studies development with emphasis on practical and theoretical aspects.,LS127 - Fundamentals of Liberal Studies Design,"Summer, Fall, Spring","Liberal Studies, Introduction, to, Liberal, Studies, Development, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: LS127 - Fundamentals of Liberal Studies Design"
Liberal Studies,LS145,Fundamentals of Liberal Studies Practice,This course covers fundamentals of liberal studies practice with emphasis on practical and theoretical aspects.,LS136 - Introduction to Liberal Studies Development,"Summer, Fall","Liberal Studies, Fundamentals, of, Liberal, Studies, Practice, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: LS136 - Introduction to Liberal Studies Development"
Liberal Studies,LS154,Introduction to Liberal Studies Practice,This course covers introduction to liberal studies practice with emphasis on practical and theoretical aspects.,LS145 - Fundamentals of Liberal Studies Practice,Summer,"Liberal Studies, Introduction, to, Liberal, Studies, Practice, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: LS145 - Fundamentals of Liberal Studies Practice"
Liberal Studies,LS163,Fundamentals of Liberal Studies Applications,This course covers fundamentals of liberal studies applications with emphasis on practical and theoretical aspects.,LS154 - Introduction to Liberal Studies Practice,"Fall, Spring","Liberal Studies, Fundamentals, of, Liberal, Studies, Applications, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: LS154 - Introduction to Liberal Studies Practice"
Liberal Studies,LS172,Introduction to Liberal Studies Theory,This course covers introduction to liberal studies theory with emphasis on practical and theoretical aspects.,LS163 - Fundamentals of Liberal Studies Applications,"Spring, Fall","Liberal Studies, Introduction, to, Liberal, Studies, Theory, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: LS163 - Fundamentals of Liberal Studies Applications"
Liberal Studies,LS181,Principles of Liberal Studies Analysis,This course covers principles of liberal studies analysis with emphasis on practical and theoretical aspects.,LS172 - Introduction to Liberal Studies Theory,"Fall, Summer, Spring","Liberal Studies, Principles, of, Liberal, Studies, Analysis, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: LS172 - Introduction to Liberal Studies Theory"
Logistics Supply Chain Mgmt,LSCM100,Introduction to Logistics Supply Chain Mgmt Systems,This course covers introduction to logistics supply chain mgmt systems with emphasis on practical and theoretical aspects.,None,Fall,"Logistics Supply Chain Mgmt, Introduction, to, Logistics, Supply, Chain, Mgmt, Systems, Introductory, Advanced, Principles, Fundamentals, Applied, Seminar, Techniques, Practice, Analysis, Design, Development, prerequisites: None"
